time,battery_pct,event,sleep_s
2025-11-25 22:16:17.501814,99.99319444444446,0,60
2025-11-25 22:16:27.501814,99.98972222222223,0,30
2025-11-25 22:16:37.501814,99.98625000000001,0,30
2025-11-25 22:16:47.501814,99.98277777777778,0,30
2025-11-25 22:16:57.501814,99.97930555555557,0,30
2025-11-25 22:17:07.501814,99.97583333333336,0,30
2025-11-25 22:17:17.501814,99.97236111111113,0,30
2025-11-25 22:17:27.501814,99.96888888888891,0,30
2025-11-25 22:17:37.501814,99.93312312312315,1,300
2025-11-25 22:17:47.501814,99.92965090090094,0,30
2025-11-25 22:17:57.501814,99.92617867867871,0,30
2025-11-25 22:18:07.501814,99.9227064564565,0,30
2025-11-25 22:18:17.501814,99.91923423423428,0,30
2025-11-25 22:18:27.501814,99.91576201201205,0,30
2025-11-25 22:18:37.501814,99.91228978978984,0,30
2025-11-25 22:18:47.501814,99.90881756756762,0,30
2025-11-25 22:18:57.501814,99.9053453453454,0,30
2025-11-25 22:19:07.501814,99.90187312312318,0,30
2025-11-25 22:19:17.501814,99.89840090090097,0,30
2025-11-25 22:19:27.501814,99.89492867867874,0,30
2025-11-25 22:19:37.501814,99.89145645645652,0,30
2025-11-25 22:19:47.501814,99.88798423423431,0,30
2025-11-25 22:19:57.501814,99.88451201201208,0,30
2025-11-25 22:20:07.501814,99.88103978978987,0,30
2025-11-25 22:20:17.501814,99.87756756756764,0,30
2025-11-25 22:20:27.501814,99.87409534534542,0,30
2025-11-25 22:20:37.501814,99.87062312312321,0,30
2025-11-25 22:20:47.501814,99.86715090090098,0,30
2025-11-25 22:20:57.501814,99.86367867867877,0,30
2025-11-25 22:21:07.501814,99.86020645645655,0,30
2025-11-25 22:21:17.501814,99.85673423423432,0,30
2025-11-25 22:21:27.501814,99.85326201201211,0,30
2025-11-25 22:21:37.501814,99.8497897897899,0,30
2025-11-25 22:21:47.501814,99.84631756756767,0,30
2025-11-25 22:21:57.501814,99.84284534534544,0,30
2025-11-25 22:22:07.501814,99.83937312312324,0,30
2025-11-25 22:22:17.501814,99.83590090090101,0,30
2025-11-25 22:22:27.501814,99.83242867867878,0,30
2025-11-25 22:22:37.501814,99.79895645645657,0,300
2025-11-25 22:22:47.501814,99.76548423423434,0,300
2025-11-25 22:22:57.501814,99.75971846846858,1,30
2025-11-25 22:23:07.501814,99.7539527027028,1,30
2025-11-25 22:23:17.501814,99.74818693693703,1,30
2025-11-25 22:23:27.501814,99.74242117117127,1,30
2025-11-25 22:23:37.501814,99.7366554054055,1,30
2025-11-25 22:23:47.501814,99.73088963963974,1,30
2025-11-25 22:23:57.501814,99.72512387387398,1,30
2025-11-25 22:24:07.501814,99.7193581081082,1,30
2025-11-25 22:24:17.501814,99.71359234234244,1,30
2025-11-25 22:24:27.501814,99.70782657657668,1,30
2025-11-25 22:24:37.501814,99.7020608108109,1,30
2025-11-25 22:24:47.501814,99.69858858858869,0,30
2025-11-25 22:24:57.501814,99.69511636636646,0,30
2025-11-25 22:25:07.501814,99.69164414414425,0,30
2025-11-25 22:25:17.501814,99.68817192192203,0,30
2025-11-25 22:25:27.501814,99.6846996996998,0,30
2025-11-25 22:25:37.501814,99.68122747747759,0,30
2025-11-25 22:25:47.501814,99.67775525525538,0,30
2025-11-25 22:25:57.501814,99.67428303303315,0,30
2025-11-25 22:26:07.501814,99.67081081081093,0,30
2025-11-25 22:26:17.501814,99.66733858858872,0,30
2025-11-25 22:26:27.501814,99.66386636636649,0,30
2025-11-25 22:26:37.501814,99.66039414414428,0,30
2025-11-25 22:26:47.501814,99.6246283783785,1,300
2025-11-25 22:26:57.501814,99.58886261261276,1,300
2025-11-25 22:27:07.501814,99.553096846847,1,300
2025-11-25 22:27:17.501814,99.51733108108124,1,300
2025-11-25 22:27:27.501814,99.48156531531548,1,300
2025-11-25 22:27:37.501814,99.44579954954972,1,300
2025-11-25 22:27:47.501814,99.41003378378396,1,300
2025-11-25 22:27:57.501814,99.37656156156173,0,300
2025-11-25 22:28:07.501814,99.37308933933951,0,30
2025-11-25 22:28:17.501814,99.36961711711729,0,30
2025-11-25 22:28:27.501814,99.36614489489507,0,30
2025-11-25 22:28:37.501814,99.36267267267284,0,30
